CMDLINE /usr/bin/python3 ./sl.py
MEM 105.050781 1569367413.6246
MEM 105.050781 1569367413.7251
MEM 105.050781 1569367413.8255
MEM 105.050781 1569367413.9259
MEM 105.050781 1569367414.0264
MEM 105.050781 1569367414.1268
MEM 105.050781 1569367414.2272
MEM 105.050781 1569367414.3277
MEM 105.050781 1569367414.4281
MEM 105.050781 1569367414.5285
MEM 105.050781 1569367414.6288
MEM 105.050781 1569367414.7292
MEM 105.050781 1569367414.8296
MEM 105.050781 1569367414.9301
MEM 105.050781 1569367415.0305
MEM 105.050781 1569367415.1309
MEM 105.050781 1569367415.2314
MEM 105.050781 1569367415.3318
MEM 105.050781 1569367415.4322
MEM 105.050781 1569367415.5326
MEM 105.050781 1569367415.6331
MEM 105.050781 1569367415.7335
MEM 105.050781 1569367415.8340
MEM 105.050781 1569367415.9344
MEM 105.050781 1569367416.0348
MEM 105.050781 1569367416.1353
MEM 105.050781 1569367416.2358
MEM 105.050781 1569367416.3363
MEM 105.050781 1569367416.4369
MEM 105.050781 1569367416.5374
MEM 105.050781 1569367416.6378
MEM 105.050781 1569367416.7383
MEM 105.050781 1569367416.8387
MEM 105.050781 1569367416.9409
MEM 105.050781 1569367417.0414
MEM 105.050781 1569367417.1418
MEM 105.050781 1569367417.2422
MEM 105.050781 1569367417.3427
MEM 105.050781 1569367417.4431
MEM 105.050781 1569367417.5435
MEM 105.050781 1569367417.6439
MEM 105.050781 1569367417.7444
MEM 105.941406 1569367417.8449
MEM 106.023438 1569367417.9458
MEM 106.023438 1569367418.0466
MEM 106.023438 1569367418.1470
MEM 106.023438 1569367418.2479
MEM 106.023438 1569367418.3485
MEM 106.023438 1569367418.4489
MEM 106.023438 1569367418.5501
MEM 106.023438 1569367418.6504
MEM 105.808594 1569367418.7509
MEM 105.808594 1569367418.8513
MEM 105.808594 1569367418.9524
MEM 105.808594 1569367419.0528
MEM 105.808594 1569367419.1532
MEM 105.808594 1569367419.2536
MEM 105.808594 1569367419.3541
MEM 105.808594 1569367419.4545
MEM 105.808594 1569367419.5550
MEM 105.808594 1569367419.6554
MEM 105.808594 1569367419.7559
MEM 105.808594 1569367419.8563
MEM 105.808594 1569367419.9567
MEM 105.808594 1569367420.0571
MEM 105.808594 1569367420.1575
MEM 105.808594 1569367420.2579
MEM 105.808594 1569367420.3584
MEM 105.808594 1569367420.4588
MEM 105.808594 1569367420.5592
MEM 105.808594 1569367420.6596
MEM 105.808594 1569367420.7600
MEM 105.808594 1569367420.8605
MEM 105.808594 1569367420.9608
MEM 105.808594 1569367421.0612
MEM 105.808594 1569367421.1616
MEM 105.808594 1569367421.2621
MEM 105.808594 1569367421.3625
MEM 105.808594 1569367421.4629
MEM 105.808594 1569367421.5633
MEM 105.808594 1569367421.6637
MEM 105.808594 1569367421.7642
MEM 105.808594 1569367421.8646
MEM 105.808594 1569367421.9650
MEM 105.808594 1569367422.0688
MEM 105.808594 1569367422.1693
MEM 105.808594 1569367422.2698
MEM 105.808594 1569367422.3702
MEM 105.808594 1569367422.4706
MEM 105.808594 1569367422.5711
MEM 105.808594 1569367422.6715
MEM 105.808594 1569367422.7719
MEM 105.808594 1569367422.8723
MEM 105.808594 1569367422.9728
MEM 105.808594 1569367423.0733
MEM 105.808594 1569367423.1737
MEM 105.808594 1569367423.2741
MEM 105.808594 1569367423.3745
MEM 105.808594 1569367423.4749
MEM 105.808594 1569367423.5753
MEM 105.808594 1569367423.6758
MEM 105.808594 1569367423.7762
MEM 105.808594 1569367423.8766
MEM 105.808594 1569367423.9770
MEM 105.808594 1569367424.0774
MEM 105.808594 1569367424.1779
MEM 105.808594 1569367424.2783
MEM 105.808594 1569367424.3788
MEM 105.808594 1569367424.4792
MEM 105.808594 1569367424.5796
MEM 105.808594 1569367424.6801
MEM 105.808594 1569367424.7805
MEM 105.808594 1569367424.8808
MEM 105.808594 1569367424.9813
MEM 105.808594 1569367425.0817
MEM 105.808594 1569367425.1821
MEM 105.808594 1569367425.2825
MEM 105.808594 1569367425.3829
MEM 105.808594 1569367425.4833
MEM 105.808594 1569367425.5838
MEM 105.808594 1569367425.6842
MEM 105.808594 1569367425.7846
MEM 105.808594 1569367425.8850
MEM 105.808594 1569367425.9855
MEM 105.808594 1569367426.0859
MEM 105.808594 1569367426.1863
MEM 105.808594 1569367426.2867
MEM 105.808594 1569367426.3871
MEM 105.808594 1569367426.4876
MEM 105.808594 1569367426.5880
MEM 105.808594 1569367426.6884
MEM 105.808594 1569367426.7888
MEM 105.808594 1569367426.8892
MEM 105.808594 1569367426.9896
MEM 105.808594 1569367427.0901
MEM 105.808594 1569367427.1917
MEM 105.808594 1569367427.2921
MEM 105.808594 1569367427.3926
MEM 105.808594 1569367427.4930
MEM 106.050781 1569367427.5933
MEM 106.050781 1569367427.6937
MEM 106.050781 1569367427.7942
MEM 106.050781 1569367427.8945
MEM 106.050781 1569367427.9951
MEM 106.050781 1569367428.0968
MEM 106.050781 1569367428.1972
MEM 106.050781 1569367428.2975
MEM 106.050781 1569367428.3996
MEM 106.050781 1569367428.5000
MEM 106.050781 1569367428.6004
MEM 106.050781 1569367428.7008
MEM 106.050781 1569367428.8012
MEM 106.050781 1569367428.9016
MEM 106.050781 1569367429.0020
MEM 106.050781 1569367429.1024
MEM 106.050781 1569367429.2028
MEM 106.050781 1569367429.3032
MEM 106.050781 1569367429.4036
MEM 106.050781 1569367429.5040
MEM 106.050781 1569367429.6044
MEM 106.050781 1569367429.7048
MEM 106.050781 1569367429.8052
MEM 106.050781 1569367429.9056
MEM 106.050781 1569367430.0060
MEM 106.050781 1569367430.1065
MEM 106.050781 1569367430.2069
MEM 106.050781 1569367430.3073
MEM 106.050781 1569367430.4077
MEM 106.050781 1569367430.5081
MEM 106.050781 1569367430.6086
MEM 106.050781 1569367430.7090
MEM 106.050781 1569367430.8094
MEM 106.050781 1569367430.9098
MEM 106.050781 1569367431.0103
MEM 106.050781 1569367431.1107
MEM 106.050781 1569367431.2111
MEM 106.050781 1569367431.3115
MEM 106.050781 1569367431.4119
MEM 106.050781 1569367431.5125
MEM 106.050781 1569367431.6129
MEM 106.050781 1569367431.7133
MEM 106.050781 1569367431.8138
MEM 106.050781 1569367431.9142
MEM 106.050781 1569367432.0146
MEM 106.050781 1569367432.1150
MEM 106.050781 1569367432.2155
MEM 106.050781 1569367432.3186
MEM 106.050781 1569367432.4190
MEM 106.050781 1569367432.5195
MEM 106.050781 1569367432.6199
MEM 106.050781 1569367432.7203
MEM 106.050781 1569367432.8207
MEM 106.050781 1569367432.9212
MEM 106.050781 1569367433.0216
MEM 106.050781 1569367433.1220
MEM 106.050781 1569367433.2224
MEM 106.050781 1569367433.3228
MEM 106.050781 1569367433.4232
MEM 106.050781 1569367433.5237
MEM 106.050781 1569367433.6241
MEM 106.050781 1569367433.7246
MEM 106.050781 1569367433.8250
MEM 106.050781 1569367433.9254
MEM 106.050781 1569367434.0258
MEM 106.050781 1569367434.1262
MEM 106.050781 1569367434.2266
MEM 106.050781 1569367434.3270
MEM 106.050781 1569367434.4274
MEM 106.050781 1569367434.5279
MEM 106.050781 1569367434.6283
MEM 106.050781 1569367434.7287
MEM 106.050781 1569367434.8291
MEM 106.050781 1569367434.9296
MEM 106.050781 1569367435.0300
